,Symbol,stock_price,strike,Distance OTM,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value
21,AMD,83.58000183105469,83.0,0.5800018310546875,4.4,4.2,4.4,0.3499999,8.641973,549.0,466.0,0.37793590820312495,1.0,1.1781115879828326,205040.0
23,AMD,83.58000183105469,84.0,-0.4199981689453125,3.9,3.7,3.95,0.5,14.705881,172.0,312.0,0.3806214282226562,0.0,0.5512820512820513,121680.0
33,AMD,83.58000183105469,90.0,-6.4199981689453125,1.86,1.76,1.93,0.19000006,11.377249,1029.0,1360.0,0.39075316284179684,0.0,0.7566176470588235,252960.0
35,AMD,83.58000183105469,100.0,-16.419998168945312,0.6,0.58,0.61,0.08000004,15.3846245,420.0,636.0,0.4292049267578125,0.0,0.660377358490566,38160.0
14,AAL,22.110000610351562,24.0,-1.8899993896484375,0.68,0.65,0.69,-0.17000002,-20.000002,691.0,591.0,0.4804739453125,0.0,1.1692047377326564,40188.00000000001
27,AAL,22.110000610351562,30.5,-8.389999389648438,0.12,0.1,0.15,-0.030000009,-20.000004,200.0,201.0,0.6191444335937502,0.0,0.9950248756218906,2411.9999999999995
23,AAPL,133.97999572753906,133.0,0.9799957275390625,4.8,4.75,4.85,0.9500003,24.675331,1868.0,1503.0,0.24951922363281248,1.0,1.2428476380572189,721440.0
24,AAPL,133.97999572753906,134.0,-0.0200042724609375,4.3,4.25,4.35,0.9300003,27.59645,1305.0,1822.0,0.24951922363281248,0.0,0.7162458836443468,783460.0
26,AAPL,133.97999572753906,136.0,-2.0200042724609375,3.35,3.3,3.4,0.77,29.844961,881.0,1012.0,0.24634542724609376,0.0,0.8705533596837944,339020.0
27,AAPL,133.97999572753906,137.0,-3.0200042724609375,2.94,2.91,2.98,0.69000006,30.66667,578.0,942.0,0.2447585290527344,0.0,0.613588110403397,276948.0
28,AAPL,133.97999572753906,138.0,-4.0200042724609375,2.56,2.55,2.61,0.6199999,31.958755,1040.0,778.0,0.24402611450195313,0.0,1.3367609254498716,199168.0
29,AAPL,133.97999572753906,139.0,-5.0200042724609375,2.24,2.21,2.27,0.59000003,35.757576,1100.0,311.0,0.2430495617675781,0.0,3.536977491961415,69664.00000000001
30,AAPL,133.97999572753906,140.0,-6.0200042724609375,1.95,1.92,1.97,0.51,35.416664,2337.0,4001.0,0.24243921630859372,0.0,0.5841039740064984,780195.0
32,AAPL,133.97999572753906,142.0,-8.020004272460938,1.44,1.42,1.48,0.42000008,41.17648,1877.0,366.0,0.24280542358398435,0.0,5.128415300546448,52704.0
36,AAPL,133.97999572753906,150.0,-16.020004272460938,0.48,0.45,0.48,0.16999999,54.838707,4197.0,3022.0,0.2553785400390626,0.0,1.3888153540701522,145056.0
37,AAPL,133.97999572753906,155.0,-21.020004272460938,0.26,0.25,0.26,0.059999987,29.999992,14579.0,260.0,0.2695385546875,0.0,56.073076923076925,6760.000000000001
38,AAPL,133.97999572753906,160.0,-26.020004272460938,0.15,0.14,0.16,0.02000001,15.3846245,1270.0,932.0,0.2885813330078124,0.0,1.3626609442060085,13979.999999999998
14,CVS,83.80999755859375,86.5,-2.69000244140625,1.05,0.94,1.18,0.0,0.0,230.0,223.0,0.20508607421874997,0.0,1.031390134529148,23415.0
9,GE,13.029999732971191,13.0,0.029999732971191406,0.64,0.6,0.63,-0.060000002,-8.571429,988.0,1854.0,0.362311064453125,1.0,0.5329018338727076,118656.0
19,GE,13.029999732971191,18.0,-4.970000267028809,0.03,0.03,0.05,0.0,0.0,231.0,303.0,0.5507857421875001,0.0,0.7623762376237624,909.0
11,UPS,205.39999389648438,210.0,-4.600006103515625,5.7,5.4,5.9,1.06,22.844828,131.0,219.0,0.2951120294189453,0.0,0.5981735159817352,124830.0
